Birth_Year,Education_Level,Annual_Income,Kids_Home,Teens_Home,Last_Purchase_Recency,Spent_Wine,Spent_Fruits,Spent_Meat,Spent_Fish,Spent_Sweets,Spent_Gold,Deals_Purchased,Web_Purchases,Catalog_Purchases,Store_Purchases,Monthly_Web_Visits,Campaign1_Accepted,Campaign2_Accepted,Campaign3_Accepted,Campaign4_Accepted,Campaign5_Accepted,Filed_Complaint,Contact_Cost,Revenue_Contribution,Campaign_Response,Country,City,Region_Code,Mobile_App_User,Email_Subscriber,Referred_By_Friend,Social_Media_User,Membership_Tier,Total_Amount_Spent,Customer_Age,Family_Size,Senior_Citizen,Device_Type_Mobile,Device_Type_Tablet,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Total_kids,Income_per_person,Cluster,PCA1,PCA2,High_Spender
1990,1,56949.21,0,1,71,594,70,71,275,37,44,2,0,9,8,19,0,1,0,0,1,0,3,11,0,USA,Berlin,379,1,0,1,0,3,1091,35,2,0,False,False,True,False,False,False,1,18983.07,1,-0.7258534396182312,1.61177199684455,False
1975,3,61703.21,2,1,12,685,77,661,5,107,389,5,9,8,6,8,0,1,1,1,1,0,3,11,1,Brazil,Mumbai,459,1,1,1,0,3,1924,50,3,0,True,False,False,False,False,False,3,15425.8025,3,-1.1176417952739783,-1.7308848221295696,True
1986,1,54786.91,0,1,50,314,93,558,196,38,6,8,8,0,2,4,0,1,1,0,0,0,3,11,1,Brazil,London,506,0,1,1,0,2,1205,39,1,0,False,False,False,False,False,True,1,27393.455,1,-0.7146951386148837,0.960469372034375,False
1980,0,76421.04,2,2,0,856,87,256,58,117,218,1,6,4,1,18,0,0,0,1,1,0,3,11,0,Brazil,São Paulo,189,0,0,1,1,1,1592,45,4,0,True,False,False,True,False,False,4,15284.207999999999,3,-1.5689601125411405,-1.807051903625698,True
1944,2,50433.6,0,0,28,804,50,586,206,42,137,4,7,8,8,12,1,0,0,1,1,1,3,11,0,India,Mumbai,210,1,1,0,1,1,1825,81,0,1,False,True,False,False,False,True,0,50433.6,2,0.1946353879733712,-0.2499469010510965,True
1952,2,69679.89,1,1,12,81,97,293,80,112,104,8,0,9,0,12,1,1,1,1,0,0,3,11,0,Germany,New York,339,0,0,0,0,0,767,73,3,1,True,False,True,False,False,False,2,17419.9725,2,0.16887708422987355,0.1604914138365992,False
1962,1,40304.48,0,1,41,963,7,694,280,81,377,7,3,8,1,3,1,0,0,0,1,0,3,11,1,India,New York,715,1,1,1,1,0,2402,63,1,1,True,False,False,False,False,False,1,20152.24,2,-0.2624510755263961,-1.1635068614939508,True
1997,0,50869.74,2,2,28,576,54,645,106,162,130,2,5,9,6,4,0,1,0,1,0,0,3,11,0,Germany,Berlin,143,1,1,1,0,0,1673,28,4,0,False,False,False,True,False,False,4,10173.948,3,-0.9950280117649406,-1.4622571445627686,True
1989,1,31809.27,2,1,93,352,64,595,117,50,405,1,3,8,0,11,1,0,0,1,0,1,3,11,0,UK,Berlin,255,0,1,0,1,3,1583,36,3,0,False,True,False,False,False,False,3,7952.3175,1,0.429721885311285,0.2224581588115043,True
1969,0,63512.97,1,1,15,923,97,255,141,37,458,2,2,1,3,0,1,0,0,1,0,0,3,11,0,Germany,New York,672,1,1,1,1,3,1911,56,2,0,True,False,False,True,False,False,2,21170.99,3,-1.1048410258056072,-1.2173879389183297,True
2001,2,48193.36,1,0,59,40,83,273,40,90,30,6,2,2,3,17,1,1,1,1,1,0,3,11,0,Germany,São Paulo,155,1,1,1,0,1,556,24,1,0,True,False,False,True,False,False,1,24096.68,1,-0.3944853912243823,2.057894704813476,False
1976,1,55367.32,2,2,33,850,94,70,179,71,41,7,3,8,8,13,1,0,0,0,1,1,3,11,0,Germany,New York,621,0,0,0,0,0,1305,49,4,0,True,False,False,True,False,False,4,11073.464,3,-0.08837965362631481,-0.9907554968107505,False
1964,1,45299.47,1,2,39,96,78,217,291,162,45,6,6,1,3,19,1,1,0,1,1,0,3,11,1,USA,São Paulo,978,1,0,1,1,1,889,61,4,1,True,False,True,False,False,False,3,9059.894,0,0.9941620426543615,-0.05921919631397936,False
1987,1,58796.43,0,1,66,782,14,23,207,179,3,6,0,0,3,3,0,1,0,1,0,0,3,11,0,India,Mumbai,799,0,0,0,1,1,1208,38,1,0,True,False,False,False,False,False,1,29398.215,1,-0.8220716417147543,1.3471842819031152,False
1966,0,55961.51,0,1,92,236,50,495,174,95,321,7,0,0,9,10,1,0,0,0,0,0,3,11,1,India,New York,604,1,0,0,0,0,1371,59,2,0,False,False,False,False,True,False,1,18653.836666666666,1,0.09412080530027754,1.4819360123738536,False
1990,0,35080.23,1,2,93,342,33,693,275,8,84,7,5,8,7,6,1,0,0,1,1,0,3,11,0,Germany,Mumbai,496,0,0,0,0,0,1435,35,4,0,False,False,False,False,True,False,3,7016.046,1,0.3757251243944905,0.4617470168297437,False
1953,3,35948.49,0,1,54,988,68,246,240,171,302,4,4,4,7,16,0,1,0,0,1,1,3,11,1,Brazil,London,173,1,0,1,1,1,2015,72,2,1,False,False,False,False,True,False,1,11982.83,2,0.6482606081891124,-0.49703629212379163,True
1996,0,49583.47,0,1,57,678,85,395,71,7,179,6,3,6,6,4,1,1,0,0,0,0,3,11,1,UK,New York,603,1,1,0,0,3,1415,29,1,0,False,False,False,False,False,False,1,24791.735,1,-0.98580731328744,0.8553255653134241,False
2001,0,59893.61,1,2,51,461,11,465,115,71,163,8,3,9,6,11,1,0,0,1,0,1,3,11,1,UK,Mumbai,761,1,1,1,1,3,1286,24,3,0,False,False,False,False,False,True,3,14973.4025,3,-1.2196937459160144,0.12844453382138474,False
1987,3,77943.43,2,1,63,989,44,545,159,128,215,7,2,4,0,5,1,1,0,0,1,1,3,11,1,UK,Mumbai,705,1,1,0,1,1,2080,38,3,0,False,False,False,False,False,False,3,19485.8575,3,-2.0469928488239706,-0.582794905507672,True
1998,1,54544.86,0,0,97,193,30,214,118,24,130,8,6,4,0,1,0,1,0,0,0,0,3,11,0,Brazil,London,780,0,0,1,1,3,709,27,0,0,False,False,False,True,False,False,0,54544.86,1,-0.5973535402172686,3.167126933989976,False
1986,2,65112.97,1,1,3,332,53,732,133,70,182,4,3,9,3,1,1,1,0,0,0,1,3,11,1,Brazil,Mumbai,614,1,0,0,1,3,1502,39,2,0,False,False,False,False,False,True,2,21704.323333333334,3,-1.5334504030203808,-0.7763638364435497,True
1993,0,25807.24,2,2,47,999,92,395,77,159,45,3,1,4,4,3,0,1,0,0,0,0,3,11,0,Germany,London,959,1,1,0,1,3,1767,32,4,0,False,False,False,True,False,False,4,5161.448,3,0.2553759022101114,-1.489594472095658,True
1975,1,80194.34,0,0,71,283,21,271,161,189,222,5,5,1,9,9,1,1,1,0,0,1,3,11,0,Germany,London,475,0,1,1,0,1,1147,50,0,0,True,False,False,True,False,False,0,80194.34,1,-1.368352455993942,2.1315506331493905,False
1978,1,59085.29,0,1,17,414,71,640,203,9,73,5,2,5,0,2,0,0,0,0,1,1,3,11,0,Brazil,Mumbai,693,0,0,1,0,3,1410,47,1,0,True,False,False,False,False,False,1,29542.645,3,-0.9817596309348309,-0.027110455337695898,False
1955,2,49255.93,1,0,85,651,63,704,33,111,457,3,3,4,7,12,0,0,1,1,1,1,3,11,0,Brazil,London,118,0,0,1,1,1,2019,70,2,1,True,False,False,False,True,False,1,16418.643333333333,1,0.2048735996574105,0.3155133354579691,True
1995,0,47529.56,0,2,9,268,59,18,15,144,484,4,0,1,6,11,1,1,0,0,1,0,3,11,0,USA,São Paulo,840,1,1,1,1,3,988,30,2,0,True,False,False,False,False,True,2,15843.186666666666,3,-0.6586666806201216,-0.08914404631055993,False
1961,1,33392.0,2,0,13,514,27,637,290,124,138,4,6,9,5,19,1,1,0,0,1,1,3,11,0,Germany,São Paulo,590,1,0,0,0,3,1730,64,3,1,False,False,True,False,False,False,2,8348.0,2,0.5972096613506099,-1.4136308168843528,True
1960,2,37680.7,1,1,50,574,20,228,234,138,460,5,9,1,3,8,0,0,1,1,1,1,3,11,1,USA,London,730,1,0,0,1,0,1654,65,3,1,False,False,False,False,True,False,2,9420.175,2,0.7483205759516807,-0.4908634820101137,True
1993,1,78656.53,1,1,94,540,74,124,282,174,467,0,4,0,9,17,0,1,0,1,0,0,3,11,0,Germany,Mumbai,730,0,1,1,0,0,1661,32,3,0,True,False,True,False,False,False,2,19664.1325,1,-1.9157865535768333,1.1451787390203803,True
1960,1,35164.93,1,2,98,370,74,232,29,183,237,1,9,1,0,14,1,1,0,1,0,0,3,11,1,Brazil,London,117,1,0,1,0,0,1125,65,3,1,True,False,False,False,False,False,3,8791.2325,0,1.7496007176771657,0.7357907990489604,False
1947,0,34875.98,1,0,45,63,86,204,227,40,58,5,9,2,3,0,1,0,0,0,1,1,3,11,1,UK,New York,228,1,1,1,1,0,678,78,1,1,False,False,False,False,False,True,1,17437.99,2,1.9476659903508375,1.0187072607480734,False
1988,0,39466.69,2,0,65,93,76,259,47,143,318,9,3,9,5,10,1,0,1,1,1,0,3,11,0,Germany,New York,833,0,1,0,1,1,936,37,2,0,False,False,False,False,False,False,2,13155.563333333334,1,0.3346319259131674,1.0211992724466368,False
1955,1,32027.29,2,2,60,331,42,402,254,152,354,4,1,1,3,6,0,1,0,1,1,0,3,11,0,Germany,São Paulo,274,1,1,1,1,1,1535,70,5,1,False,False,True,False,False,False,4,5337.881666666667,0,1.6476905782787505,-1.1469084795992854,True
1998,1,50229.6,2,2,1,852,26,487,35,29,26,5,5,8,9,3,0,0,1,1,0,0,3,11,0,Brazil,Berlin,240,1,0,1,0,0,1455,27,4,0,False,False,False,True,False,False,4,10045.92,3,-0.9971149361386087,-1.7449896527307323,True
1994,3,66333.66,2,2,34,125,22,172,280,168,249,7,4,4,0,0,0,1,1,1,0,1,3,11,0,Brazil,New York,457,0,0,0,1,1,1016,31,4,0,False,False,False,False,False,False,4,13266.732,3,-0.9657904594891147,-0.3227421816371668,False
1970,2,40842.62,2,2,33,833,96,160,138,188,446,6,7,0,3,15,0,0,1,1,1,1,3,11,0,Brazil,New York,188,0,0,1,1,0,1861,55,4,0,True,False,False,False,False,True,4,8168.524,0,0.2908705929097117,-1.9322127794786914,True
1981,1,29400.14,2,1,92,883,89,272,258,48,450,0,9,0,5,12,1,0,0,1,0,0,3,11,1,Brazil,London,724,1,0,0,1,0,2000,44,3,0,False,True,False,False,False,False,3,7350.035,0,0.4760162919650674,-0.4405896894858201,True
1949,2,54377.92,1,1,69,689,35,696,196,89,470,6,1,6,9,6,1,0,0,1,1,0,3,11,0,India,São Paulo,256,1,1,1,1,0,2175,76,3,1,True,False,False,False,True,False,2,13594.48,0,0.13642102154986516,-0.6836441776737847,True
1971,0,49163.38,1,2,67,207,96,259,234,75,212,1,6,6,6,15,1,0,1,1,1,0,3,11,1,USA,New York,554,0,0,1,0,3,1083,54,3,0,False,False,False,False,False,False,3,12290.845,0,0.5943405519901199,0.3761848146994407,False
1998,1,65040.87,1,2,64,351,37,775,299,41,30,7,0,8,9,14,0,0,0,0,1,0,3,11,1,Germany,New York,719,1,1,1,1,3,1533,27,4,0,True,False,True,False,False,False,3,13008.174,3,-1.4479396547011305,0.10931706163454376,True
1973,1,43182.38,2,0,34,731,15,221,175,120,492,8,1,8,6,9,0,0,0,1,1,0,3,11,0,Brazil,New York,171,0,0,0,1,2,1754,52,2,0,True,False,False,False,False,False,2,14394.126666666665,3,-0.14105747303338348,-0.7968636604838186,True
2001,0,46097.65,1,1,47,968,73,115,74,62,84,5,0,8,4,1,1,0,1,1,0,1,3,11,1,UK,Mumbai,716,0,1,1,0,3,1376,24,2,0,False,False,False,False,False,True,2,15365.883333333333,3,-0.8930371439820041,0.23591968576149241,False
1948,2,47757.04,2,0,46,501,42,164,258,94,251,6,9,1,2,1,0,0,1,0,0,1,3,11,1,USA,Berlin,418,0,0,0,1,3,1310,77,2,1,False,False,False,False,False,False,2,15919.013333333334,2,1.0144028533496046,-0.10815961257777518,False
1956,1,51335.06,1,0,89,656,40,623,71,25,107,5,4,3,5,16,1,0,0,0,1,0,3,11,0,Brazil,Mumbai,143,0,1,0,0,0,1522,69,1,1,False,True,False,False,False,False,1,25667.53,1,0.5118298879550928,1.087651692579475,True
1950,1,44111.57,2,1,92,120,43,385,72,165,246,3,9,6,5,11,1,1,0,1,0,1,3,11,1,USA,London,345,0,0,1,1,2,1031,75,3,1,False,False,False,False,False,True,3,11027.8925,0,1.773753129478828,0.749658726151058,False
1971,1,41680.34,2,2,10,55,51,344,99,122,327,0,0,0,7,15,0,1,0,1,1,1,3,11,0,India,London,778,0,0,1,0,0,998,54,4,0,True,False,False,False,False,False,4,8336.068,3,0.7785479086154938,-1.2618939350981784,False
1949,1,22244.33,2,1,61,113,16,296,214,155,283,4,0,0,4,0,1,0,0,0,0,0,3,11,1,Germany,São Paulo,825,1,1,1,1,0,1077,76,3,1,False,False,False,False,False,True,3,5561.0825,0,2.5023348843406232,-0.21419966991644232,False
1961,0,41519.19,0,0,3,722,51,396,194,197,21,0,6,8,0,2,1,0,0,1,1,1,3,11,1,India,Mumbai,738,1,0,0,1,1,1581,64,1,1,True,False,True,False,False,False,0,20759.595,2,-0.005846194271603639,-0.41691108775240765,True
1996,1,60728.35,0,1,85,518,42,722,42,0,345,7,7,4,2,6,0,0,0,1,1,0,3,11,0,Germany,São Paulo,817,0,1,1,1,1,1669,29,1,0,False,True,False,False,False,True,1,30364.175,1,-1.4880486648612117,1.2342814557197792,True
1956,1,62753.68,2,2,32,931,22,151,127,65,110,7,2,1,8,18,0,1,0,1,1,1,3,11,1,Germany,New York,457,1,1,1,1,2,1406,69,5,1,False,False,True,False,False,False,4,10458.946666666667,0,0.23833003538328762,-1.2264356821202662,False
1943,2,42933.3,1,1,33,295,0,712,185,90,493,0,0,9,9,6,1,1,0,0,0,1,3,11,1,Brazil,São Paulo,197,0,1,1,0,2,1775,82,3,1,False,False,True,False,False,False,2,10733.325,2,0.938515557608261,-1.0908804078628895,True
1987,0,69492.29,2,2,94,256,92,98,248,169,199,4,7,8,1,16,1,0,0,0,0,1,3,11,0,USA,Berlin,972,0,1,0,0,0,1062,38,4,0,True,False,False,False,False,True,4,13898.457999999999,0,-0.5024249265099987,0.8651823565199916,False
1991,1,49569.44,2,2,73,169,24,445,15,7,478,3,6,5,6,9,1,1,1,1,0,1,3,11,1,Brazil,New York,303,1,0,1,1,2,1138,34,4,0,True,False,False,False,False,False,4,9913.888,0,0.0005201113410842338,0.13508387347413725,False
1986,1,29932.3,0,0,34,163,5,607,54,177,386,5,8,4,6,12,0,0,0,0,0,1,3,11,0,USA,London,945,1,0,0,0,0,1392,39,1,0,True,False,False,False,True,False,0,14966.15,1,-0.07497265100689078,0.5650490794509114,False
1964,2,25214.24,2,0,52,880,73,64,173,9,438,9,4,2,3,6,1,1,0,1,1,1,3,11,1,USA,London,292,0,1,1,0,3,1637,61,2,1,False,False,False,False,False,True,2,8404.746666666668,0,1.157097028252298,-0.5296422349729808,True
1998,1,68273.87,0,2,27,806,53,414,71,51,209,2,4,2,4,18,1,1,0,0,0,0,3,11,0,India,New York,553,0,0,0,0,2,1604,27,2,0,True,False,False,False,False,False,2,22757.956666666665,3,-2.035734857684316,-0.27139349529776996,True
1960,2,44404.94,1,2,22,888,77,145,298,10,459,5,7,7,0,15,1,0,0,0,0,1,3,11,1,Germany,New York,584,0,0,0,1,0,1877,65,4,1,True,False,True,False,False,False,3,8880.988000000001,0,0.2628152633230984,-1.7667661698414132,True
1976,3,31789.03,1,0,48,128,22,509,256,3,121,6,7,5,4,10,1,0,0,0,0,1,3,11,0,UK,Mumbai,883,1,1,1,0,0,1039,49,1,0,False,False,False,True,False,False,1,15894.515,1,0.7463046423069303,0.8059097909803925,False
1977,3,16110.86,1,2,75,751,18,23,42,157,102,7,1,6,1,13,1,1,0,0,1,1,3,11,0,Brazil,London,969,1,0,0,1,0,1093,48,4,0,True,False,False,False,True,False,3,3222.172,0,1.8179208217389735,0.2205293661131845,False
1988,2,44064.26,2,1,92,727,55,576,87,127,414,8,3,0,2,7,0,0,0,0,1,1,3,11,1,UK,New York,282,1,1,1,1,0,1986,37,3,0,False,False,False,False,False,False,3,11016.065,1,-0.3884197626862372,-0.20566014397609708,True
1940,2,56071.26,0,2,1,190,52,654,140,36,61,0,3,5,4,8,0,1,1,0,0,1,3,11,1,India,London,712,1,1,1,1,0,1133,85,3,1,True,False,False,False,True,False,2,14017.815,2,0.8134596735708272,-0.8013958558060379,False
1964,1,39534.63,2,2,76,585,30,214,185,102,487,1,1,2,7,8,0,0,1,0,0,0,3,11,0,India,Berlin,935,0,0,0,0,0,1603,61,4,1,True,False,False,True,False,False,4,7906.9259999999995,0,1.047749851793999,-0.7433073147923805,True
1990,2,34201.32,1,0,99,842,37,369,77,90,482,8,7,8,6,12,0,1,0,0,0,0,3,11,1,Germany,New York,865,0,1,0,0,0,1897,35,1,0,False,False,False,True,False,False,1,17100.66,1,-0.2439339237620411,0.891867142251487,True
1975,1,41759.36,2,0,25,869,18,531,201,144,428,3,9,4,9,0,1,1,0,1,0,0,3,11,1,USA,São Paulo,731,0,1,1,1,0,2191,50,2,0,False,False,False,True,False,False,2,13919.786666666667,3,-0.5676714127807847,-1.5642368298332587,True
1956,3,68647.88,0,0,16,853,0,349,3,8,484,6,1,4,3,0,1,0,0,0,0,0,3,11,1,Germany,São Paulo,759,0,1,1,0,3,1697,69,0,1,True,False,False,False,False,True,0,68647.88,2,-0.9850269309382892,-0.039454883306512555,True
1980,0,29105.28,0,1,42,823,76,510,254,110,111,5,2,6,7,1,1,1,0,1,1,1,3,11,1,India,Berlin,544,0,0,1,1,2,1884,45,2,0,True,False,False,False,True,False,1,9701.76,1,-0.014142779909328147,-0.43458652927208763,True
1963,1,40374.48,1,2,96,414,49,51,160,5,339,8,8,7,1,14,1,0,0,0,0,1,3,11,1,India,London,937,0,0,0,0,0,1018,62,3,1,False,False,False,False,False,True,3,10093.62,0,1.4945193096693912,0.9158411033204318,False
1941,1,68161.37,1,2,58,256,97,204,110,196,273,7,9,2,0,8,0,1,0,0,0,1,3,11,1,Germany,Mumbai,963,0,0,0,1,0,1136,84,3,1,True,False,False,True,False,False,3,17040.3425,0,0.7821072640482754,0.08028907528943759,False
1979,1,57412.64,1,0,85,552,57,764,140,48,28,9,3,3,6,4,0,1,0,0,0,1,3,11,1,Brazil,London,307,0,0,0,1,1,1589,46,1,0,True,False,False,False,False,False,1,28706.32,1,-0.6631852002660804,1.166487441002893,True
1954,1,52686.92,2,2,65,650,80,120,263,0,81,4,3,0,7,3,0,0,1,1,0,0,3,11,0,UK,New York,734,0,1,1,1,1,1194,71,4,1,True,False,False,True,False,False,4,10537.384,0,1.1195489542724242,-0.3732890268521128,False
1971,1,40273.31,0,2,73,261,31,61,248,17,100,0,2,9,1,12,1,0,0,1,1,1,3,11,1,India,Berlin,341,1,0,0,1,0,718,54,2,0,False,False,False,False,False,True,2,13424.436666666666,1,1.1483313497131094,1.3501270768849252,False
1978,2,50457.57,2,1,38,946,48,10,276,13,201,5,6,0,3,5,0,1,0,0,0,1,3,11,0,Brazil,London,869,1,0,1,0,1,1494,47,3,0,True,False,False,True,False,False,3,12614.3925,3,-0.23477042608662582,-0.7104213599224253,True
1998,1,41932.56,1,2,25,191,97,553,62,139,68,2,8,7,1,0,1,1,0,0,1,0,3,11,0,USA,Mumbai,151,1,1,0,0,2,1110,27,3,0,True,False,False,True,False,False,3,10483.14,3,-0.37064259096161284,-0.4097613286773337,False
1945,1,37109.21,0,1,93,236,96,248,30,195,33,7,2,4,9,16,1,1,1,1,1,0,3,11,0,India,Mumbai,748,1,1,0,0,3,838,80,1,1,False,False,False,False,False,True,1,18554.605,2,2.099026409967405,1.8321498241906728,False
1940,2,33799.14,1,2,21,720,91,645,75,71,359,0,9,6,0,16,0,1,1,1,1,0,3,11,0,India,Berlin,547,1,0,1,0,1,1961,85,3,1,True,False,False,False,False,True,3,8449.785,2,1.3652974666095632,-2.1761471059665527,True
1986,1,61761.43,0,0,74,77,43,229,151,69,480,6,7,5,0,6,1,1,1,0,0,1,3,11,1,Brazil,New York,844,1,1,0,0,0,1049,39,0,0,False,False,False,False,False,False,0,61761.43,1,-0.8893310605629281,2.2124786954761273,False
1962,0,49093.91,0,0,21,351,28,88,62,187,210,9,7,9,7,13,0,1,1,1,1,1,3,11,0,USA,Berlin,280,1,0,1,0,3,926,63,0,1,False,False,False,False,False,True,0,49093.91,2,0.2861154083342473,0.920428551243555,False
1997,1,54717.71,1,2,87,403,87,502,27,126,177,0,7,6,1,10,0,1,0,0,1,1,3,11,1,Germany,New York,474,0,0,1,0,3,1322,28,3,0,False,False,False,False,False,False,3,13679.4275,1,-0.6563951124211131,0.7546229211763896,False
1978,2,52275.1,0,0,57,884,47,172,32,80,46,2,0,9,0,11,0,0,0,1,0,0,3,11,0,UK,Berlin,311,0,0,0,1,3,1261,47,1,0,True,False,True,False,False,False,0,26137.55,1,-0.4771227556005879,1.4042452351097952,False
2000,1,56613.78,0,1,28,771,79,440,270,64,205,4,4,6,3,6,0,0,1,1,1,1,3,11,1,Brazil,Berlin,879,0,1,0,1,3,1829,25,2,0,True,False,True,False,False,False,1,18871.26,3,-1.9510153786505355,-0.19694289706552381,True
2001,1,46179.22,1,0,9,762,76,678,155,52,191,5,9,7,4,18,1,0,0,0,0,1,3,11,1,India,Berlin,210,0,1,0,0,3,1914,24,1,0,False,False,False,False,False,True,1,23089.61,3,-1.7352969541000174,-0.8173620152735571,True
1996,1,42775.14,0,1,97,934,25,359,283,166,345,7,9,6,6,18,0,1,1,1,0,1,3,11,0,Germany,London,340,0,1,0,1,0,2112,29,1,0,False,True,False,True,False,False,1,21387.57,1,-1.0138317490770963,0.7073862371690455,True
1956,1,37770.8,1,2,24,46,6,617,39,101,69,2,2,8,4,12,0,0,0,0,1,0,3,11,0,Brazil,São Paulo,781,0,0,1,0,0,878,69,4,1,False,False,False,False,True,False,3,7554.160000000001,2,1.5183442388524164,-0.509105693939546,False
1973,0,28790.46,2,2,20,917,43,362,57,118,38,7,8,7,4,3,0,0,1,1,0,1,3,11,0,India,São Paulo,497,1,0,1,0,1,1535,52,4,0,False,False,False,True,False,False,4,5758.092,3,0.8760564077370718,-1.8839869196979206,True
1998,3,33169.5,2,0,60,348,13,548,12,48,341,6,6,0,9,1,0,1,0,1,0,0,3,11,0,USA,Mumbai,423,1,1,1,0,0,1310,27,2,0,False,False,False,False,False,True,2,11056.5,1,-0.10012550615806558,0.43327896371444885,False
1980,2,44518.73,1,2,38,809,51,551,83,77,3,9,3,9,9,6,0,0,0,0,1,1,3,11,1,USA,London,380,1,0,1,1,2,1574,45,3,0,False,True,False,False,False,False,3,11129.6825,3,-0.12149076304776242,-0.8647135906333102,True
1968,1,25954.41,0,2,76,612,31,224,274,129,481,3,0,1,5,13,0,0,0,0,0,1,3,11,1,USA,New York,262,1,0,1,0,0,1751,57,2,0,True,False,False,True,False,False,2,8651.47,0,1.0388509573391316,-0.13155259798656843,True
1948,1,29265.71,2,1,65,460,74,390,25,143,175,5,5,6,5,7,1,0,1,1,1,0,3,11,0,USA,London,266,1,0,0,0,3,1267,77,4,1,True,False,True,False,False,False,3,5853.142,0,2.1115013115960575,-0.31204664484940264,False
1952,2,65632.1,1,1,5,974,31,465,178,122,319,3,0,8,8,13,1,1,0,1,0,1,3,11,1,Brazil,Berlin,619,0,1,0,0,3,2089,73,2,1,True,False,False,False,False,True,2,21877.36666666667,2,-0.7842247145746701,-1.778617986405661,True
1945,1,53362.69,1,2,0,802,74,363,273,47,249,2,3,2,9,16,1,0,0,0,0,1,3,11,1,Brazil,New York,404,1,1,0,1,0,1808,80,3,1,True,False,False,True,False,False,3,13340.6725,2,0.34687968642087846,-2.165089658311981,True
1945,1,43222.45,0,0,27,152,83,167,170,172,323,1,3,2,5,7,1,1,1,0,0,0,3,11,1,UK,New York,898,1,1,1,1,2,1067,80,0,1,True,False,False,True,False,False,0,43222.45,2,1.076603379983471,0.6598519218307893,False
1959,0,84073.62,0,0,85,626,56,418,295,153,56,1,7,1,8,5,0,0,0,1,0,0,3,11,1,UK,Berlin,363,0,1,0,0,3,1604,66,0,1,False,True,False,False,False,False,0,84073.62,1,-1.234742542685043,1.7372841750473667,True
1991,1,25276.25,0,0,10,898,51,713,22,10,382,9,8,0,7,5,0,1,1,1,1,1,3,11,0,USA,London,126,1,1,0,1,3,2076,34,0,0,True,False,False,False,False,False,0,25276.25,3,-0.7707030407843972,-0.8573931653949748,True
1992,3,64634.17,1,2,38,306,33,726,234,54,1,5,6,4,6,3,1,1,0,1,0,1,3,11,1,USA,Mumbai,317,0,0,1,0,0,1354,33,3,0,True,False,False,False,False,False,3,16158.5425,3,-1.230528536619173,-0.25777341090674455,False
1942,0,48328.01,2,0,68,267,60,373,99,96,470,7,2,0,2,5,0,0,0,1,0,0,3,11,1,India,Berlin,461,1,0,0,1,0,1365,83,3,1,True,False,False,False,True,False,2,12082.0025,0,1.3030421099628895,0.24288803368513037,False
1956,0,61775.71,1,0,17,653,61,525,263,140,211,7,0,5,8,4,0,0,1,1,0,1,3,11,0,Germany,London,422,0,0,1,0,0,1853,69,1,1,False,False,False,False,False,True,1,30887.855,2,-0.6564814178434288,-0.7608402524794636,True
1988,1,51634.31,0,2,19,935,85,722,265,154,26,3,8,0,6,14,1,1,1,1,0,1,3,11,0,India,Berlin,336,0,0,1,1,3,2187,37,2,0,True,False,False,False,False,True,2,17211.436666666665,3,-1.4939613138089123,-1.473341722928713,True
1951,2,21916.32,0,1,75,287,86,221,146,189,12,8,9,9,9,14,1,1,0,1,0,1,3,11,1,Germany,Mumbai,786,1,1,1,0,1,941,74,2,1,True,False,True,False,False,False,1,7305.44,2,2.325773671928674,1.1976454858434304,False
1987,1,51431.91,1,1,84,305,92,136,151,11,226,4,1,5,8,6,0,1,0,0,0,1,3,11,0,India,Berlin,332,1,0,0,0,0,921,38,3,0,True,False,True,False,False,False,2,12857.9775,1,-0.00309920104232984,1.5658179299564474,False
1986,1,55033.34,0,2,90,67,75,68,116,190,360,3,6,3,1,14,0,1,1,1,0,1,3,11,0,USA,New York,342,0,1,1,0,3,876,39,2,0,True,False,False,False,False,True,2,18344.446666666667,1,-0.04443769384684558,1.783542904880344,False
1984,1,17120.22,0,1,57,284,30,556,160,130,146,9,6,9,1,8,1,1,1,1,0,0,3,11,1,Brazil,London,103,1,0,1,0,0,1306,41,1,0,False,False,False,True,False,False,1,8560.11,1,0.9149250447887279,0.5484584553773425,False
1994,1,79160.72,1,0,49,542,28,188,214,3,404,2,7,5,7,5,1,0,1,1,1,0,3,11,1,Germany,Mumbai,636,1,1,1,1,0,1379,31,1,0,True,False,False,False,False,True,1,39580.36,1,-2.186650666522627,1.0397608562496998,False
1940,0,54668.11,2,2,40,479,30,49,100,14,328,2,1,1,0,1,0,1,0,0,1,1,3,11,0,UK,Mumbai,160,1,0,1,0,3,1000,85,5,1,False,False,False,False,True,False,4,9111.351666666667,0,1.5457676792586126,-0.73797894096226,False
1956,0,60079.82,0,2,97,23,11,620,174,46,138,2,1,5,4,10,1,1,0,1,1,0,3,11,1,Germany,London,602,1,0,1,1,2,1012,69,3,1,False,True,True,False,False,False,2,15019.955,0,0.7675658616292167,1.5647586482745075,False
1942,1,32517.06,2,1,17,10,34,735,118,77,290,5,2,4,0,10,0,1,0,1,1,0,3,11,1,UK,Berlin,683,1,0,1,1,3,1264,83,4,1,True,False,True,False,False,False,3,6503.412,2,1.890948594136165,-1.337764823510255,False
